t,px,py,pz,qw,qx,qy,qz
0.666667,0.271679,0.51857,0.220578,0.820841,0.408387,0.390793,0.081988
0.675,0.271648,0.518565,0.220621,0.82082,0.408512,0.390728,0.081883
0.683333,0.271627,0.518575,0.220642,0.820852,0.40827,0.390893,0.081978
0.691667,0.271608,0.518566,0.220679,0.820832,0.408392,0.390824,0.081906
0.7,0.271592,0.518569,0.220727,0.820748,0.408509,0.390893,0.081825
0.708333,0.271584,0.518574,0.220756,0.820759,0.40837,0.391,0.081905
0.716667,0.271442,0.518567,0.220837,0.82247,0.407877,0.38748,0.083895
0.725,0.271519,0.518644,0.221012,0.821442,0.408168,0.389735,0.082096
0.733333,0.271501,0.518574,0.220928,0.821597,0.408196,0.389332,0.082313
0.741667,0.271509,0.518587,0.220985,0.821551,0.408284,0.389349,0.082251
0.75,0.271517,0.518599,0.221047,0.821521,0.408377,0.389315,0.082246
0.758333,0.271552,0.518609,0.221065,0.821608,0.408345,0.389087,0.082621
0.766667,0.271533,0.518633,0.221178,0.821456,0.408488,0.38936,0.082141
0.775,0.271516,0.518589,0.221187,0.821313,0.408843,0.389199,0.08256
0.783333,0.271545,0.518664,0.221306,0.821354,0.408727,0.389325,0.08213
0.791667,0.271489,0.51868,0.221359,0.822298,0.40822,0.387522,0.083715
0.8,0.271624,0.518683,0.221435,0.820303,0.409613,0.390792,0.081256
0.808333,0.271609,0.51868,0.221438,0.820967,0.409211,0.389601,0.082291
0.816667,0.271555,0.51876,0.221556,0.820487,0.409392,0.390732,0.0808
0.825,0.271603,0.518764,0.221678,0.820988,0.409257,0.389658,0.081574
0.833333,0.271592,0.518714,0.221607,0.821294,0.408925,0.389309,0.081827
0.841667,0.271654,0.518638,0.221637,0.821814,0.408736,0.388512,0.081332
0.85,0.271596,0.518725,0.221711,0.821353,0.409039,0.389054,0.081868
0.858333,0.271613,0.518707,0.221709,0.82127,0.409014,0.389345,0.081443
0.866667,0.271602,0.518711,0.221764,0.821275,0.409032,0.389322,0.081423
0.875,0.271556,0.518733,0.221894,0.821276,0.409227,0.389026,0.081842
0.883333,0.271534,0.518736,0.221956,0.821254,0.409233,0.389077,0.081789
0.891667,0.271509,0.518741,0.222019,0.821254,0.409254,0.38905,0.081813
0.9,0.271482,0.518745,0.222084,0.821237,0.409277,0.38906,0.081824
0.908333,0.271439,0.51877,0.222131,0.821161,0.409083,0.389408,0.0819
0.916667,0.271587,0.519021,0.22237,0.81956,0.409874,0.392471,0.079315
0.925,0.271496,0.519107,0.222618,0.819579,0.411992,0.390076,0.07996
0.933333,0.271325,0.518768,0.222354,0.821179,0.409341,0.389095,0.081915
0.941667,0.271283,0.518777,0.222428,0.821156,0.409377,0.389104,0.081927
0.95,0.27123,0.518798,0.222471,0.821072,0.40917,0.389489,0.081978
0.958333,0.271182,0.518797,0.222543,0.821031,0.409211,0.389532,0.08197
0.966667,0.271137,0.518732,0.222634,0.821719,0.408796,0.388541,0.081852
0.975,0.271117,0.518771,0.222651,0.820937,0.40948,0.389539,0.081532
0.983333,0.271064,0.518764,0.222701,0.820863,0.409502,0.389679,0.081503
0.991667,0.271013,0.518763,0.222762,0.820842,0.409528,0.389693,0.081509
1.0,0.270962,0.518754,0.222815,0.820807,0.409551,0.389755,0.081457
1.008333,0.27091,0.518744,0.222863,0.82076,0.40957,0.389836,0.081451
1.016667,0.270861,0.518732,0.2229,0.820736,0.409575,0.389892,0.081393
1.025,0.270769,0.518669,0.222799,0.820512,0.40978,0.390048,0.081871
1.033333,0.270635,0.518766,0.222798,0.820713,0.408231,0.391424,0.081026
1.041667,0.270687,0.518626,0.222837,0.820553,0.409725,0.390005,0.081939
1.05,0.270591,0.518637,0.222993,0.820615,0.40996,0.389593,0.082102
1.058333,0.270592,0.518654,0.223,0.820857,0.409278,0.38985,0.081863
1.066667,0.270502,0.518607,0.223107,0.821397,0.409092,0.389058,0.081145
1.075,0.270478,0.518593,0.223123,0.821334,0.408879,0.389349,0.081466
1.083333,0.27041,0.518594,0.223163,0.821279,0.40916,0.389208,0.081282
1.091667,0.270386,0.518593,0.223189,0.821371,0.408859,0.389297,0.081433
1.1,0.270315,0.518686,0.223191,0.82088,0.409198,0.389823,0.082162
1.108333,0.270266,0.518689,0.223226,0.820892,0.409229,0.389767,0.082163
1.116667,0.270194,0.51859,0.223271,0.820871,0.409989,0.389214,0.081195
1.125,0.270232,0.518612,0.223184,0.821157,0.40955,0.388844,0.082286
1.133333,0.270106,0.518609,0.223315,0.821447,0.409217,0.388842,0.081043
1.141667,0.270038,0.518629,0.223387,0.821531,0.409183,0.388686,0.081114
1.15,0.269904,0.518745,0.223581,0.821575,0.411342,0.386155,0.081829
1.158333,0.269844,0.518755,0.223626,0.821704,0.41106,0.386198,0.081755
1.166667,0.269716,0.518681,0.223163,0.820367,0.410338,0.390105,0.080242
1.175,0.269816,0.518677,0.223414,0.820852,0.410158,0.3891,0.081082
1.183333,0.269698,0.518726,0.223452,0.820898,0.409781,0.389356,0.08129
1.191667,0.269588,0.518731,0.223456,0.820918,0.409775,0.389331,0.081235
1.2,0.269456,0.518727,0.223463,0.820845,0.409789,0.389481,0.081178
1.208333,0.269298,0.518731,0.223456,0.820922,0.409722,0.389422,0.081024
1.216667,0.269143,0.518747,0.223413,0.82136,0.408884,0.389317,0.081324
1.225,0.268997,0.518652,0.22347,0.82151,0.409402,0.388588,0.080692
1.233333,0.268783,0.518701,0.223439,0.821857,0.409505,0.387409,0.082285
1.241667,0.268692,0.518662,0.223385,0.821082,0.409987,0.388885,0.080648
1.25,0.26847,0.518652,0.223382,0.821224,0.409812,0.38876,0.080692
1.258333,0.268202,0.51873,0.223516,0.821215,0.409022,0.389624,0.080629
1.266667,0.267865,0.518655,0.223389,0.821395,0.409136,0.389041,0.08103
1.275,0.267642,0.518633,0.223307,0.820651,0.409235,0.390474,0.081167
1.283333,0.267166,0.518689,0.223492,0.821393,0.40891,0.389275,0.081062
1.291667,0.266668,0.518638,0.22341,0.82166,0.408581,0.388786,0.08235
1.3,0.266137,0.518605,0.223455,0.821737,0.408535,0.388642,0.082491
1.308333,0.265474,0.518638,0.22358,0.82152,0.40839,0.388997,0.083696
1.316667,0.26474,0.518612,0.223807,0.822027,0.408134,0.388212,0.083609
1.325,0.264107,0.518956,0.224202,0.820729,0.410733,0.388367,0.082907
1.333333,0.262996,0.518802,0.224234,0.820155,0.409803,0.390283,0.084181
1.341667,0.262192,0.518725,0.224293,0.820579,0.408704,0.389877,0.087214
1.35,0.261366,0.519095,0.224832,0.819597,0.409901,0.3908,0.086698
1.358333,0.260176,0.518736,0.224708,0.82129,0.407646,0.388985,0.089438
1.366667,0.258965,0.518653,0.224765,0.821101,0.407772,0.38884,0.091207
1.375,0.257656,0.518806,0.224977,0.820823,0.407447,0.38951,0.092293
1.383333,0.256602,0.518884,0.225251,0.820281,0.406372,0.391543,0.093245
1.391667,0.255296,0.518732,0.225336,0.820676,0.406736,0.390072,0.094338
1.4,0.253978,0.518824,0.225726,0.821659,0.40521,0.389165,0.096083
1.408333,0.252552,0.518619,0.225518,0.820317,0.406496,0.390363,0.097253
1.416667,0.251189,0.518588,0.225467,0.819511,0.406351,0.392045,0.097883
1.425,0.249678,0.518464,0.225412,0.819473,0.405558,0.392604,0.099246
1.433333,0.248095,0.518446,0.22564,0.820463,0.405786,0.390063,0.100143
1.441667,0.246569,0.518077,0.225137,0.819786,0.403836,0.393281,0.10098
1.45,0.245059,0.518059,0.225077,0.820077,0.403509,0.393058,0.100796
1.458333,0.243486,0.517755,0.22475,0.819846,0.401783,0.395099,0.101588
1.466667,0.241832,0.51766,0.224717,0.820475,0.402347,0.392857,0.102962
1.475,0.24028,0.517361,0.224133,0.819771,0.399828,0.396877,0.102965
1.483333,0.238682,0.517112,0.223717,0.819595,0.398868,0.397902,0.104128
1.491667,0.23713,0.51694,0.223526,0.819984,0.396518,0.39958,0.103609
1.5,0.235374,0.516529,0.222955,0.820523,0.396422,0.398483,0.103938
1.508333,0.233683,0.516145,0.222504,0.820766,0.395507,0.398654,0.104846
1.516667,0.232076,0.515949,0.222184,0.821059,0.394037,0.399525,0.104765
1.525,0.230324,0.51557,0.221673,0.821197,0.393188,0.399803,0.105813
1.533333,0.228689,0.515271,0.221151,0.821012,0.39227,0.400913,0.106451
1.541667,0.226883,0.515069,0.220769,0.82146,0.390547,0.40179,0.106028
1.55,0.22513,0.514825,0.220522,0.821868,0.391981,0.399211,0.107305
1.558333,0.223297,0.514505,0.219789,0.820912,0.390712,0.402441,0.107192
1.566667,0.221655,0.514087,0.219357,0.822252,0.386905,0.403328,0.107395
1.575,0.219853,0.513788,0.218873,0.822527,0.385548,0.403936,0.107875
1.583333,0.218057,0.513469,0.218377,0.822679,0.384493,0.404518,0.108303
1.591667,0.216182,0.513198,0.217929,0.822889,0.383441,0.405003,0.108623
1.6,0.214407,0.512883,0.217428,0.823164,0.382053,0.405583,0.109262
1.608333,0.212315,0.512723,0.217176,0.821771,0.384132,0.406611,0.108635
1.616667,0.210662,0.512255,0.216434,0.823503,0.380049,0.40636,0.110806
1.625,0.208869,0.512042,0.216018,0.823667,0.37896,0.407086,0.110648
1.633333,0.207092,0.511946,0.215893,0.824325,0.379055,0.405301,0.111969
1.641667,0.205235,0.511454,0.215115,0.823948,0.377215,0.407678,0.112327
1.65,0.203404,0.511419,0.214999,0.824511,0.377693,0.405935,0.1129
1.658333,0.201613,0.51096,0.214231,0.824416,0.37511,0.408423,0.113233
1.666667,0.199871,0.510785,0.213879,0.824587,0.373951,0.409162,0.113153
1.675,0.198073,0.51054,0.21342,0.824852,0.37294,0.409416,0.113639
1.683333,0.196281,0.510298,0.212974,0.825145,0.37185,0.409678,0.114138
1.691667,0.194447,0.510069,0.212566,0.825402,0.370985,0.409826,0.114561
